"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"23.09.2022","0,9690","0,9838","0,9852","0,9668","90,97K","-1,51%"
"22.09.2022","0,9839","0,9832","0,9906","0,9809","103,83K","0,02%"
"21.09.2022","0,9837","0,9972","0,9978","0,9813","87,44K","-1,33%"
"20.09.2022","0,9970","1,0023","1,0051","0,9955","72,94K","-0,52%"
"19.09.2022","1,0022","1,0012","1,0030","0,9966","63,18K","0,07%"
"16.09.2022","1,0015","1,0001","1,0037","0,9944","72,84K","0,16%"
"15.09.2022","0,9999","0,9980","1,0019","0,9955","69,08K","0,22%"
"14.09.2022","0,9977","0,9969","1,0024","0,9955","87,67K","0,07%"
"13.09.2022","0,9970","1,0123","1,0188","0,9966","77,65K","-1,47%"
"12.09.2022","1,0119","1,0080","1,0199","1,0059","62,34K","0,80%"
"09.09.2022","1,0039","0,9995","1,0114","0,9995","76,39K","0,45%"
"08.09.2022","0,9994","1,0002","1,0030","0,9930","86,34K","-0,05%"
"07.09.2022","0,9999","0,9904","1,0012","0,9875","82,61K","0,98%"
"06.09.2022","0,9902","0,9927","0,9987","0,9863","101,49K","-0,24%"
"05.09.2022","0,9926","0,9950","0,9950","0,9877","67,11K","-0,25%"
"02.09.2022","0,9951","0,9945","1,0035","0,9942","68,96K","0,07%"
"01.09.2022","0,9944","1,0055","1,0057","0,9911","85,85K","-1,12%"
"31.08.2022","1,0057","1,0014","1,0079","0,9971","87,59K","0,45%"
"30.08.2022","1,0012","0,9996","1,0056","0,9981","90,21K","0,17%"
"29.08.2022","0,9995","0,9977","1,0029","0,9913","59,85K","0,34%"
"26.08.2022","0,9961","0,9974","1,0091","0,9947","60,92K","-0,13%"
"25.08.2022","0,9974","0,9967","1,0035","0,9948","82,50K","0,09%"
